state	nces_id	school_name	metric	json_value	source_value	status	source_file	notes
OH	390047005029	Horizon Science Academy Cleveland Elementary School	graduation.5yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390051005220	Horizon Science Academy Toledo	accountability.rating	2 Stars	2  Stars	OK	oh_achievement_2023-24.csv	
OH	390051005220	Horizon Science Academy Toledo	graduation.4yr	100.0	100.0	OK	Graduation_Component.csv	
OH	390051005220	Horizon Science Academy Toledo	graduation.5yr	84.4	84.4	OK	Graduation_Component.csv	
OH	390064505319	Noble Academy Columbus	accountability.rating	2 Stars	2  Stars	OK	oh_achievement_2023-24.csv	
OH	390064505319	Noble Academy Columbus	graduation.4yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390064505319	Noble Academy Columbus	graduation.5yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390064605345	Noble Academy Euclid	accountability.rating	2 Stars	2  Stars	OK	oh_achievement_2023-24.csv	
OH	390064605345	Noble Academy Euclid	graduation.4yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390064605345	Noble Academy Euclid	graduation.5yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390132205440	Horizon Science Academy Columbus Middle School	accountability.rating	1 Star	1  Star	OK	oh_achievement_2023-24.csv	
OH	390132205440	Horizon Science Academy Columbus Middle School	graduation.4yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390132205440	Horizon Science Academy Columbus Middle School	graduation.5yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390135305483	Horizon Science Academy Columbus Elementary School	accountability.rating	2 Stars	2  Stars	OK	oh_achievement_2023-24.csv	
OH	390135305483	Horizon Science Academy Columbus Elementary School	graduation.4yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390135305483	Horizon Science Academy Columbus Elementary School	graduation.5yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390136505544	Horizon Science Academy Lorain	accountability.rating	2 Stars	2  Stars	OK	oh_achievement_2023-24.csv	
OH	390136505544	Horizon Science Academy Lorain	graduation.4yr	97.5	97.5	OK	Graduation_Component.csv	
OH	390136505544	Horizon Science Academy Lorain	graduation.5yr	100.0	100.0	OK	Graduation_Component.csv	
OH	390136605556	Horizon Science Academy Dayton High School	accountability.rating	1 Star	1  Star	OK	oh_achievement_2023-24.csv	
OH	390136605556	Horizon Science Academy Dayton High School	graduation.4yr	75.0	75.0	OK	Graduation_Component.csv	
OH	390136605556	Horizon Science Academy Dayton High School	graduation.5yr	95.1	95.1	OK	Graduation_Component.csv	
OH	390138305625	Horizon Science Academy Dayton Downtown	accountability.rating	1 Star	1  Star	OK	oh_achievement_2023-24.csv	
OH	390138305625	Horizon Science Academy Dayton Downtown	graduation.4yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390138305625	Horizon Science Academy Dayton Downtown	graduation.5yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390138905567	Horizon Science Academy Youngstown	accountability.rating	2 Stars	2  Stars	OK	oh_achievement_2023-24.csv	
OH	390138905567	Horizon Science Academy Youngstown	graduation.4yr	—	—	OK_NULL	Graduation_Component.csv	
OH	390138905567	Horizon Science Academy Youngstown	graduation.5yr	—	—	OK_NULL	Graduation_Component.csv	
